name,url,team
Precious Achiuwa,https://www.espn.com/nba/player/gamelog/_/id/4431679/precious-achiuwa,TOR
OG Anunoby,https://www.espn.com/nba/player/gamelog/_/id/3934719/og-anunoby,TOR
Dalano Banton,https://www.espn.com/nba/player/gamelog/_/id/4397885/dalano-banton,TOR
Scottie Barnes,https://www.espn.com/nba/player/gamelog/_/id/4433134/scottie-barnes,TOR
Khem Birch,https://www.espn.com/nba/player/gamelog/_/id/2578240/khem-birch,TOR
Isaac Bonga,https://www.espn.com/nba/player/gamelog/_/id/4348697/isaac-bonga,TOR
Chris Boucher,https://www.espn.com/nba/player/gamelog/_/id/3948153/chris-boucher,TOR
Justin Champagnie,https://www.espn.com/nba/player/gamelog/_/id/4432907/justin-champagnie,TOR
Goran Dragic,https://www.espn.com/nba/player/gamelog/_/id/3423/goran-dragic,TOR
Malachi Flynn,https://www.espn.com/nba/player/gamelog/_/id/4066668/malachi-flynn,TOR
David Johnson,https://www.espn.com/nba/player/gamelog/_/id/4592204/david-johnson,TOR
Svi Mykhailiuk,https://www.espn.com/nba/player/gamelog/_/id/3133602/svi-mykhailiuk,TOR
Pascal Siakam,https://www.espn.com/nba/player/gamelog/_/id/3149673/pascal-siakam,TOR
Gary Trent Jr.,https://www.espn.com/nba/player/gamelog/_/id/4277843/gary-trent-jr,TOR
Fred VanVleet,https://www.espn.com/nba/player/gamelog/_/id/2991230/fred-vanvleet,TOR
Yuta Watanabe,https://www.espn.com/nba/player/gamelog/_/id/3133838/yuta-watanabe,TOR
D.J. Wilson,https://www.espn.com/nba/player/gamelog/_/id/3136491/dj-wilson,TOR
Nemanja Bjelica,https://www.espn.com/nba/player/gamelog/_/id/4269/nemanja-bjelica,GS
Chris Chiozza,https://www.espn.com/nba/player/gamelog/_/id/3137795/chris-chiozza,GS
Stephen Curry,https://www.espn.com/nba/player/gamelog/_/id/3975/stephen-curry,GS
Draymond Green,https://www.espn.com/nba/player/gamelog/_/id/6589/draymond-green,GS
Andre Iguodala,https://www.espn.com/nba/player/gamelog/_/id/2386/andre-iguodala,GS
Jonathan Kuminga,https://www.espn.com/nba/player/gamelog/_/id/4433247/jonathan-kuminga,GS
Damion Lee,https://www.espn.com/nba/player/gamelog/_/id/2595209/damion-lee,GS
Kevon Looney,https://www.espn.com/nba/player/gamelog/_/id/3155535/kevon-looney,GS
Moses Moody,https://www.espn.com/nba/player/gamelog/_/id/4432171/moses-moody,GS
Gary Payton II,https://www.espn.com/nba/player/gamelog/_/id/3134903/gary-payton-ii,GS
Jordan Poole,https://www.espn.com/nba/player/gamelog/_/id/4277956/jordan-poole,GS
Otto Porter Jr.,https://www.espn.com/nba/player/gamelog/_/id/2594922/otto-porter-jr,GS
Klay Thompson,https://www.espn.com/nba/player/gamelog/_/id/6475/klay-thompson,GS
Juan Toscano-Anderson,https://www.espn.com/nba/player/gamelog/_/id/4401416/juan-toscano-anderson,GS
Quinndary Weatherspoon,https://www.espn.com/nba/player/gamelog/_/id/3907358/quinndary-weatherspoon,GS
Andrew Wiggins,https://www.espn.com/nba/player/gamelog/_/id/3059319/andrew-wiggins,GS
James Wiseman,https://www.espn.com/nba/player/gamelog/_/id/4432808/james-wiseman,GS
Nicolas Batum,https://www.espn.com/nba/player/gamelog/_/id/3416/nicolas-batum,LAC
Eric Bledsoe,https://www.espn.com/nba/player/gamelog/_/id/4238/eric-bledsoe,LAC
